lon,lat,type,code
139.91831,34.59556,sagami,N.ST1H
139.83931,34.73964,sagami,N.ST2H
139.6435,34.79833,sagami,N.ST3H
139.57111,34.89314,sagami,N.ST4H
139.42133,34.94131,sagami,N.ST5H
139.37783,35.09661,sagami,N.ST6H
141.0535,35.8968,S-net,N.S1N01
141.3772,35.8424,S-net,N.S1N02
141.6451,35.7203,S-net,N.S1N03
141.9041,35.6036,S-net,N.S1N04
142.0531,35.4047,S-net,N.S1N05
141.8692,35.2277,S-net,N.S1N06
141.5902,35.2773,S-net,N.S1N07
141.3898,35.4536,S-net,N.S1N08
141.3068,35.227,S-net,N.S1N09
141.2021,35.0925,S-net,N.S1N10
140.9682,35.1203,S-net,N.S1N11
140.8091,35.0228,S-net,N.S1N12
140.9627,34.8788,S-net,N.S1N13
141.0907,34.6407,S-net,N.S1N14
141.3512,34.5256,S-net,N.S1N15
141.5402,34.3686,S-net,N.S1N16
141.3341,34.1956,S-net,N.S1N17
141.0316,34.262,S-net,N.S1N18
140.7311,34.2269,S-net,N.S1N19
140.4159,34.2592,S-net,N.S1N20
140.203,34.4231,S-net,N.S1N21
140.0906,34.6443,S-net,N.S1N22
141.3845,37.8428,S-net,N.S2N01
141.6387,37.6922,S-net,N.S2N02
141.965,37.7073,S-net,N.S2N03
142.2975,37.6739,S-net,N.S2N04
142.6236,37.6016,S-net,N.S2N05
142.935,37.5259,S-net,N.S2N06
143.2266,37.429,S-net,N.S2N07
143.07,37.222,S-net,N.S2N08
142.8188,37.0741,S-net,N.S2N09
142.4979,37.0948,S-net,N.S2N10
142.1998,37.1931,S-net,N.S2N11
141.879,37.2772,S-net,N.S2N12
141.5709,37.3003,S-net,N.S2N13A
141.3703,37.0952,S-net,N.S2N14
141.3307,36.8344,S-net,N.S2N15
141.5207,36.662,S-net,N.S2N16
141.8389,36.6337,S-net,N.S2N17
142.1445,36.6824,S-net,N.S2N18
142.4389,36.5986,S-net,N.S2N19
142.6164,36.3885,S-net,N.S2N20
142.5553,36.1577,S-net,N.S2N21
142.4014,35.9463,S-net,N.S2N22
142.1138,35.9677,S-net,N.S2N23
141.7944,35.9976,S-net,N.S2N24
141.5095,36.0729,S-net,N.S2N25
141.2021,36.1442,S-net,N.S2N26
142.4578,39.4497,S-net,N.S3N01
142.7918,39.3746,S-net,N.S3N02
143.1206,39.3231,S-net,N.S3N03
143.4544,39.2958,S-net,N.S3N04
143.7499,39.1906,S-net,N.S3N05
143.9305,39.0459,S-net,N.S3N06
143.7846,38.8308,S-net,N.S3N07
143.4769,38.7826,S-net,N.S3N08
143.1437,38.7739,S-net,N.S3N09
142.8212,38.8668,S-net,N.S3N10
142.4873,38.9349,S-net,N.S3N11
142.1816,38.8412,S-net,N.S3N12
142.1816,38.5901,S-net,N.S3N13
142.5002,38.4993,S-net,N.S3N14
142.8376,38.4487,S-net,N.S3N15
143.1703,38.4262,S-net,N.S3N16
143.5139,38.3978,S-net,N.S3N17
143.781,38.3063,S-net,N.S3N18
143.7441,38.0594,S-net,N.S3N19
143.5675,37.9311,S-net,N.S3N20
143.2454,37.9713,S-net,N.S3N21
142.9072,37.9838,S-net,N.S3N22
142.5735,38.027,S-net,N.S3N23
142.234,38.0569,S-net,N.S3N24
141.8957,38.0972,S-net,N.S3N25
141.5572,38.106,S-net,N.S3N26
141.7895,40.7881,S-net,N.S4N01
142.1057,40.9069,S-net,N.S4N02
142.4314,41.0156,S-net,N.S4N03
142.7706,41.0762,S-net,N.S4N04
143.1138,41.0443,S-net,N.S4N05
143.4481,40.9718,S-net,N.S4N06
143.7746,40.882,S-net,N.S4N07
144.0905,40.7805,S-net,N.S4N08
144.1332,40.5521,S-net,N.S4N09
143.8887,40.4327,S-net,N.S4N10
143.543,40.4353,S-net,N.S4N11
143.2015,40.4515,S-net,N.S4N12
142.9617,40.5196,S-net,N.S4N13
142.634,40.5927,S-net,N.S4N14
142.2844,40.5933,S-net,N.S4N15
142.2673,40.3295,S-net,N.S4N16
142.3926,40.1165,S-net,N.S4N17
142.6222,40.1088,S-net,N.S4N18
142.9695,40.0904,S-net,N.S4N19
143.321,40.0743,S-net,N.S4N20
143.6572,40.0863,S-net,N.S4N21
143.9547,40.026,S-net,N.S4N22
143.9259,39.7718,S-net,N.S4N23
143.7154,39.6388,S-net,N.S4N24
143.3749,39.6976,S-net,N.S4N25
143.0384,39.7245,S-net,N.S4N26
142.6903,39.7445,S-net,N.S4N27
142.3408,39.7385,S-net,N.S4N28
145.7115,42.7688,S-net,N.S5N01
145.4063,42.6403,S-net,N.S5N02
145.1433,42.4802,S-net,N.S5N03
145.204,42.2286,S-net,N.S5N04
145.437,42.0615,S-net,N.S5N05
145.6544,41.884,S-net,N.S5N06
145.5291,41.6637,S-net,N.S5N07
145.2483,41.5301,S-net,N.S5N08
144.905,41.521,S-net,N.S5N09
144.6716,41.6541,S-net,N.S5N10
144.6955,41.9072,S-net,N.S5N11
144.6375,42.0784,S-net,N.S5N12
144.3445,41.9792,S-net,N.S5N13
144.1779,41.7475,S-net,N.S5N14
144.0879,41.4961,S-net,N.S5N15
143.8006,41.3742,S-net,N.S5N16
143.453,41.3643,S-net,N.S5N17
143.1264,41.4351,S-net,N.S5N18
142.8177,41.5607,S-net,N.S5N19
142.4787,41.6095,S-net,N.S5N20
142.2193,41.4248,S-net,N.S5N21
142.0271,41.1989,S-net,N.S5N22
141.8762,40.954,S-net,N.S5N23
146.0211,42.8064,S-net,N.S6N01
146.078,42.5807,S-net,N.S6N02
146.2316,42.0943,S-net,N.S6N03
146.1747,41.6653,S-net,N.S6N04
145.6053,41.3717,S-net,N.S6N05
145.3929,40.8999,S-net,N.S6N06
144.9381,40.536,S-net,N.S6N07
144.8089,40.0319,S-net,N.S6N08
144.7191,39.5172,S-net,N.S6N09
144.5915,39.0072,S-net,N.S6N10
144.4536,38.499,S-net,N.S6N11
144.3357,37.9879,S-net,N.S6N12
144.1757,37.4862,S-net,N.S6N13
143.9557,37.012,S-net,N.S6N14
143.6059,36.5748,S-net,N.S6N15
143.2823,36.1262,S-net,N.S6N16
142.9688,35.6745,S-net,N.S6N17
142.6799,35.2114,S-net,N.S6N18
142.5208,34.7118,S-net,N.S6N19
142.2389,34.2604,S-net,N.S6N20
141.7291,33.9619,S-net,N.S6N21
141.1281,33.8601,S-net,N.S6N22
140.5189,33.9448,S-net,N.S6N23
139.9814,34.1773,S-net,N.S6N24
139.8167,34.6696,S-net,N.S6N25